Data;Estação;Latitude;Longitude;Radiação Solar (W/m2);Precipitação (mm);Vel do Vento Média (km/h);Temp. Mínima (°C);Temp. Média (°C);Temp. Máxima (°C);Umidade Rel. Mín. (%);Umidade Rel. Média (%);Umidade Rel. Máxima (%);Rajada de Vento (km/h);Evapotranspiração (mm)
"03/02/2026 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";180;2;4,9;22,72;23,54;24,57;90,73;96,58;100;13;
"03/02/2026 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";187;0;2,8;24,61;24,76;25;86,25;88,66;92,55;9;
"03/02/2026 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";76;0;1,1;24,17;24,43;24,81;91,38;93,15;95,28;4,3;
"03/02/2026 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";2;0;0,7;23,14;23,49;24,19;95,2;98,19;100;4,3;
"03/02/2026 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,3;22,62;22,96;23,27;97,41;98,74;100;5,8;
"03/02/2026 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,2;22,48;22,59;22,67;99,99;100;100;7,6;
"03/02/2026 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,5;21,98;22,19;22,44;99,99;99,99;99,99;7,9;
"03/02/2026 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,1;21,66;21,81;22;99,99;99,99;99,99;8,6;
"04/02/2026 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,6;21,36;21,55;21,7;99,98;99,99;99,99;10,8;2,9
"04/02/2026 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,1;20,99;21,21;21,42;99,98;99,98;99,98;18;
"04/02/2026 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,5;20,93;20,99;21,09;99,97;99,97;99,98;11,2;
"04/02/2026 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,5;21,04;21,08;21,14;99,97;99,98;99,98;10,8;
"04/02/2026 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;4,9;21,05;21,13;21,35;99,98;99,98;99,98;10,4;
"04/02/2026 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,8;21,3;21,36;21,41;99,98;99,98;99,98;17,3;
"04/02/2026 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";10;0;5;21,35;21,46;21,58;99,97;99,98;99,98;10,8;
"04/02/2026 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";63;0;5,3;21,62;21,81;22,04;99,97;99,98;99,98;13,7;
"04/02/2026 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";111;0;4,5;22;22,29;22,45;99,98;99,98;99,98;12,2;
"04/02/2026 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";377;0;5,1;22,28;23,61;24,87;91,95;97,83;100;13;
"04/02/2026 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";468;0;5;23,79;24,86;26,2;85,38;91,9;97,33;14,4;
"04/02/2026 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";552;0;5,4;25,44;26,13;26,71;80,02;87;94,49;13,7;
"04/02/2026 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";805;0;5,9;25,93;26,94;27,62;77,97;82,91;89,22;13;
"04/02/2026 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";493;0;5;26,19;26,9;28,22;81,71;84,3;87,71;15,1;
"04/02/2026 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";501;0;5;26,55;27,36;27,89;78;81,73;87,2;13,3;
"04/02/2026 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";199;0;7,3;22,46;24,91;26,74;82,84;90,06;98,33;19,8;
"04/02/2026 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";195;0;7,6;22,28;23,04;24,33;86,55;93,12;97,61;16,6;
"04/02/2026 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";94;1,2;4,7;21,42;22,7;23,88;87,41;92,56;99,99;13;
"04/02/2026 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";8;2;3;20,75;20,97;21,18;99,97;99,97;99,99;10,1;
"04/02/2026 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;3,2;2,2;20,37;20,58;20,77;99,97;99,97;99,97;6,8;
"04/02/2026 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,6;20,8;21,2;21,9;99,97;99,98;100;4,7;
"04/02/2026 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,1;21,92;22,11;22,26;96,73;98,18;100;3,6;
"04/02/2026 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,9;21,57;21,91;22,27;99,12;99,87;99,99;5;
"04/02/2026 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,5;21,99;22,16;22,43;95,28;97,77;99,73;9,4;
"05/02/2026 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,1;20,76;21;21,6;99,98;99,99;99,99;10,8;3,6
"05/02/2026 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,5;20,73;20,91;21,09;99,98;99,99;100;7,9;
"05/02/2026 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,4;20,77;20,96;21,11;99,98;99,99;100;10,1;
"05/02/2026 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,1;20,53;20,71;20,85;99,97;99,98;99,98;2,2;
"05/02/2026 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,3;20,24;20,29;20,39;99,97;99,97;99,97;2,2;
"05/02/2026 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,4;20,18;20,36;20,53;99,97;99,97;99,97;4;
"05/02/2026 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";2;0;0,5;20,27;20,4;20,54;99,97;99,97;99,97;2,9;
"05/02/2026 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";90;0;1,4;20,44;20,97;21,64;99,11;99,91;100;4,7;
"05/02/2026 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";134;0;0,5;21,73;22,26;23,79;86,84;97,63;100;5;
"05/02/2026 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";436;0;1;23,31;24,65;26,46;76,21;86,03;94,67;5;
"05/02/2026 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";385;0;2,2;24,56;25,25;26,67;75,64;84,46;89,36;7,2;
"05/02/2026 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";732;0;2,9;25,65;26,83;27,88;69,97;77,72;83,29;9,7;
"05/02/2026 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";501;0;3,1;25,99;27,34;28,9;63,91;74,38;82,06;11,2;
"05/02/2026 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";737;0;3,2;26,31;27,64;28,71;68,38;73,7;80,72;11,5;
"05/02/2026 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";231;3,4;3,9;24,02;25,55;28,28;70,36;88,23;100;11,5;
"05/02/2026 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";610;0;4,3;24,12;26,68;28,32;73,43;82,02;94,82;14;
"05/02/2026 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";596;0;4,6;28,18;29,07;29,68;61,97;65,67;70,71;10,4;
"05/02/2026 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";217;0;3,6;26,89;28,22;29,4;59,88;68,94;77,14;11,9;
